dataset_name,encoder_name,HL1_size,learning_rate,batch_size,random_state,epoch,epoch_loss,epoch_f1,mode,num_batches
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,6,0.6194963867847736,0.8797655042666129,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.7583751857280732,0.7126759884837764,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,7,0.5687924990287194,0.887810203708062,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.7439333021640777,0.7224341364396021,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,8,0.5194226526297056,0.9125403515317835,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.7299651563167572,0.7266585660825119,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,9,0.4740716792069949,0.9310338623196229,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.715571504831314,0.7244819110136195,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,10,0.43444045919638413,0.9400322569300222,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.699791568517685,0.7263858502333428,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,11,0.39635408841646635,0.95188057092819,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.6808275818824768,0.728400609459621,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,12,0.37064316181036144,0.9558842237714528,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.6959515333175659,0.7236854146367961,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,13,0.33932708776914156,0.959660811835901,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.6825825870037079,0.7258734676666365,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,14,0.30828577509293187,0.9729475843785492,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.6946725189685822,0.721865082195032,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,15,0.28625411826830643,0.9700561335294942,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.6678781509399414,0.7263014592678836,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,16,0.2634028895543172,0.9764568645727162,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.6815621793270111,0.729579010015906,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,17,0.2531485374157245,0.9674066114118495,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.6911425173282624,0.7128532968191412,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.6861904323101043,0.7171551692694086,Test,
